Year,Prod_Description (SKU),Payment_Mode,Order_Number,Order_Value,Order_Status,Street_Name,City,State,Pin_Code,Contact_Number,Tracking_ID,Customer_Type,Multiple_Item,Class_RWOD
2021,SHO-M-BLK-XL-LT,Pre-Paid,ORD202101001,"?3,022.43",Returned-Undelivered,Anna Salai 216,Jaipur,Rajasthan,,9836364700,77276847,New,1,1
2021,SRE-U-WHT-M-HV,COD,ORD202101002,"?3,933.92",Delivered,Linking Rd 170,Coimbatore,Tamil Nadu,574925,7439297300,EZ361992,Existing,0,0
2021,TSH-U-GRN-XL-MD,Pre-Paid,ORD202101003,"?5,315.09",Delivered,Sector 15 206,Ludhiana,Punjab,717952,8288484300,EZ130813,Existing,0,0
2021,JNS-F-WHT-XS-HV,COD,ORD202101004,"?1,058.37",Delivered,Rajaji Nagar 172,Ludhiana,Punjab,485321,9456559300,85387117,Existing,0,0
2021,WAT-U-GRN-XL-MD,COD,ORD202101005,"?4,253.87",Returned-Undelivered,FC Road 124,Kolkata,West Bengal,394897,6912475900,53640209,Existing,0,1
2021,SHO-M-GRN-S-LT,Pre-Paid,ORD202101006,"?2,390.05",In-Transit,Civil Lines 138,Ahmedabad,Gujarat,151381,9975459700,SF282411,New,0,0
2021,SRE-F-NVY-M-LT,COD,ORD202101007,"?2,765.46",Delivered,Brigade Rd 24,Ludhiana,Punjab,403307,7636928300,85163148,Existing,0,0
2021,TSH-U-BLK-S-HV,COD,ORD202101008,"?4,652.69",Delivered,Park Street 79,Gurugram,Haryana,,7433952200,10502325,New,1,0
2021,WAT-M-WHT-L-LT,Pre-Paid,ORD202101009,"?3,319.14",Delivered,Camp 139,New Delhi,Delhi,,7725187700,EZ823908,Existing,0,0
2021,WAT-F-BLK-M-LT,Pre-Paid,ORD202101010,"?4,391.74",Delivered,Sector 15 122,Jaipur,Rajasthan,288491,6868192300,77909471,New,0,0
2021,SHO-F-BLU-L-LT,COD,ORD202101011,"?4,199.25",Returned-Undelivered,MG Road 73,Noida,Uttar Pradesh,295384,6840888100,19295785,Existing,0,1
2021,KRT-U-GRN-S-MD,COD,ORD202101012,"?1,739.62",Returned-Undelivered,Civil Lines 58,Noida,Uttar Pradesh,419753,9132708700,SF143776,Existing,0,1
2021,KRT-F-GRN-S-LT,COD,ORD202101013,"?1,903.36",Delivered,Camp 29,Hyderabad,Telangana,237576,8643878100,53680218,New,0,0
2021,WAT-F-RED-XS-LT,Pre-Paid,ORD202101014,"?5,341.63",Delivered,Camp 124,Gurugram,Haryana,561835,9328444300,SF866062,Existing,0,0
2021,KRT-U-BLU-M-LT,Pre-Paid,ORD202101015,"?3,177.03",Delivered,Rajaji Nagar 132,New Delhi,Delhi,145897,9113594500,SF266257,New,0,0
2021,TOP-U-RED-XS-LT,COD,ORD202101016,"?1,310.57",Delivered,MG Road 236,Lucknow,Uttar Pradesh,551345,,77729771,Existing,0,0
2021,JNS-U-WHT-S-MD,COD,ORD202101017,"?2,838.18",Delivered,Camp 35,New Delhi,Delhi,785102,8990098200,55697002,Existing,0,0
2021,JNS-F-PNK-XXL-MD,COD,ORD202101018,?412.44,Returned-After-Delivery,Camp 183,Jaipur,Rajasthan,649099,,SF236075,New,0,0
2021,WAT-F-GRY-XXL-HV,COD,ORD202101019,"?5,842.84",Returned-Undelivered,Civil Lines 248,Hyderabad,Telangana,497249,8637133500,55117129,New,0,1
2021,BAG-U-WHT-XS-MD,Pre-Paid,ORD202101020,?392.67,Delivered,Indiranagar 112,Kochi,Kerala,258193,7118126900,77273180,Existing,0,0
2021,TOP-U-GRN-XS-LT,COD,ORD202101021,"?5,756.36",Returned-Undelivered,Civil Lines 186,Coimbatore,Tamil Nadu,375431,9989022700,EZ902430,New,1,1
2021,JNS-F-GRY-M-LT,Pre-Paid,ORD202101022,?446.46,Delivered,MG Road 89,Gurugram,Haryana,445075,8709776100,53311610,New,0,0
2021,SRE-F-WHT-M-MD,COD,ORD202101023,"?2,677.79",Delivered,Camp 36,Ludhiana,Punjab,393070,9546089500,85329695,New,0,0
2021,DRS-U-PNK-XS-LT,Pre-Paid,ORD202101024,"?1,319.22",Delivered,Brigade Rd 81,New Delhi,Delhi,551763,9831870100,FX611602,New,0,0
2021,SHO-M-GRN-M-MD,Pre-Paid,ORD202101025,"?3,349.00",Delivered,FC Road 15,New Delhi,Delhi,730515,9963009100,85978771,New,0,0
2021,TOP-M-WHT-M-MD,COD,ORD202101026,"?5,014.07",Delivered,Marine Drive 43,Jaipur,Rajasthan,749906,7601048900,DL653949,Existing,0,0
2021,JNS-M-PNK-S-LT,COD,ORD202101027,"?3,713.78",Delivered,Indiranagar 43,Kolkata,West Bengal,560121,8434482300,19952027,Existing,1,0
2021,JNS-F-GRY-XXL-MD,COD,ORD202101028,"?1,370.61",Returned-Undelivered,Camp 141,Kolkata,West Bengal,139480,7149158900,SF786785,Existing,0,1
2021,SRE-U-RED-L-MD,COD,ORD202101029,"?1,278.72",Returned-Undelivered,Anna Salai 150,Coimbatore,Tamil Nadu,348526,6636265900,55400719,Existing,0,1
2021,BAG-M-BLU-L-MD,COD,ORD202101030,"?2,521.35",Returned-Undelivered,Civil Lines 209,Ahmedabad,Gujarat,277874,9927547300,DL149625,New,0,1
2021,JKT-M-GRY-XS-MD,Pre-Paid,ORD202101031,"?5,304.26",Delivered,Indiranagar 225,Kochi,Kerala,118649,8624756700,13242013,Existing,0,0
2021,TOP-M-PNK-XXL-LT,COD,ORD202101032,"?1,356.70",Delivered,Civil Lines 36,New Delhi,Delhi,284496,7763830100,53405610,Existing,0,0
2021,BAG-M-NVY-M-LT,Pre-Paid,ORD202101033,"?5,227.63",Delivered,Camp 110,Kochi,Kerala,737349,8310905100,19363877,New,1,0
2021,KRT-M-PNK-XS-MD,Pre-Paid,ORD202101034,"?2,882.82",Delivered,FC Road 51,Jaipur,Rajasthan,248017,9542224900,DL385864,Existing,1,0
2021,TOP-U-RED-S-MD,COD,ORD202101035,"?2,583.54",Delivered,Rajaji Nagar 67,New Delhi,Delhi,342755,9245079100,85135187,Existing,0,0
2021,TSH-F-BLU-XXL-LT,COD,ORD202101036,"?4,070.41",Returned-After-Delivery,Anna Salai 15,Noida,Uttar Pradesh,131211,9668466100,XB700486,New,0,0
2021,DRS-M-RED-S-MD,Pre-Paid,ORD202101037,"?4,163.83",Delivered,Brigade Rd 198,Mysuru,Karnataka,414004,,13627067,Existing,0,0
